match,metric_ffreq_a,metric_lfreq_a,metric_ffreq_b,metric_lfreq_b,metric_gender_code,metric_race_code,metric_year,metric_year_align,metric_fname_letters_align,metric_ffreq_min,metric_ffreq_max,metric_ffreq_mean,metric_lfreq_min,metric_lfreq_max,metric_lfreq_mean,metric_fname_dl,metric_fname_jaccard,metric_fname_jw,metric_fname_lcs,metric_fname_lv,metric_fname_osa,metric_fname_qgram,metric_fname_soundex,metric_fname_longest_dl,metric_fname_longest_jaccard,metric_fname_longest_jw,metric_fname_longest_lcs,metric_fname_longest_lv,metric_fname_longest_osa,metric_fname_longest_qgram,metric_fname_longest_soundex,metric_lname_dl,metric_lname_jaccard,metric_lname_jw,metric_lname_lcs,metric_lname_lv,metric_lname_osa,metric_lname_qgram,metric_lname_soundex,metric_lname_longest_dl,metric_lname_longest_jaccard,metric_lname_longest_jw,metric_lname_longest_lcs,metric_lname_longest_lv,metric_lname_longest_osa,metric_lname_longest_qgram,metric_lname_longest_soundex,metric_distance_from_identical
0,2.0875462949294805,-0.3835828976732181,2.2116765762931556,-0.010563356165330554,TRUE,TRUE,4,0.3333333333333333,0,2.0875462949294805,2.2116765762931556,2.0875462949294805,-0.3835828976732181,-0.010563356165330554,-0.3835828976732181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.75,0.5714285714285715,9,6,6,7,1,6,0.75,0.5714285714285715,9,6,6,7,1,2.512471655328798
0,-0.766991648083423,-0.7089648997125836,-0.45901758195531717,-0.4388289889588349,FALSE,TRUE,4,0.3333333333333333,0,-0.766991648083423,-0.45901758195531717,-0.766991648083423,-0.7089648997125836,-0.4388289889588349,-0.7089648997125836,2,0.25,0.21666666666666667,3,2,2,1,0,2,0.25,0.21666666666666667,3,2,2,1,0,5,0.75,0.41666666666666674,10,5,5,10,1,5,0.75,0.41666666666666674,10,5,5,10,1,3.488402777777778
0,-0.3612705191272743,0.242151721633254,-0.4145060126511759,0.49556875531790184,TRUE,TRUE,9,0.6666666666666666,0,-0.4145060126511759,-0.3612705191272743,-0.3612705191272743,0.242151721633254,0.49556875531790184,0.242151721633254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.875,0.5333333333333334,8,4,4,8,1,4,0.875,0.5333333333333334,8,4,4,8,1,9.64
0,-0.07146971273002525,-0.8215971311877486,-0.10292502752218745,-0.7762503966143232,TRUE,TRUE,1,0.3333333333333333,0,-0.10292502752218745,-0.07146971273002525,-0.07146971273002525,-0.8215971311877486,-0.7762503966143232,-0.8215971311877486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,12,8,8,12,1,8,1,1,12,8,8,12,1,1.1111111111111112
1,2.7251080690034284,1.23081242013748,2.7161410284067564,1.2223225564220304,TRUE,FALSE,0,0,0,2.7161410284067564,2.7251080690034284,2.7251080690034284,1.2223225564220304,1.23081242013748,1.23081242013748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.766991648083423,0.6175924932171373,1.395631139050567,-0.1662963135447867,TRUE,TRUE,42,0.6666666666666666,0,-0.766991648083423,1.395631139050567,-0.766991648083423,-0.1662963135447867,0.6175924932171373,0.6175924932171373,2,0.33333333333333337,0.26111111111111107,3,2,2,3,0,2,0.33333333333333337,0.26111111111111107,3,2,2,3,0,6,0.9,0.5523809523809524,10,6,6,10,1,6,0.9,0.5523809523809524,10,6,6,10,1,196.95691609977325
0,0.7834426661418595,0.6551365703755256,0.7724691687925898,-0.8151836359591872,TRUE,TRUE,4,0.3333333333333333,0,0.7724691687925898,0.7834426661418595,0.7834426661418595,-0.8151836359591872,0.6551365703755256,0.6551365703755256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,0.5694444444444445,8,7,7,8,1,7,0.7,0.5694444444444445,8,7,7,8,1,2.5434027777777777
0,-0.6800514061642483,0.78028349423682,0.34219066551922467,-0.8022058895108992,TRUE,TRUE,4,0.3333333333333333,0,-0.6800514061642483,0.34219066551922467,-0.6800514061642483,-0.8022058895108992,0.78028349423682,0.78028349423682,1,0.25,0.06666666666666676,1,1,1,1,0,1,0.25,0.06666666666666676,1,1,1,1,0,4,0.75,0.5333333333333334,6,4,4,6,1,4,0.75,0.5333333333333334,6,4,4,6,1,2.497777777777778
1,0.14588089206791158,-0.7840530540293603,0.2383303371428952,-0.7762503966143232,TRUE,TRUE,1,0.6666666666666666,0,0.14588089206791158,0.2383303371428952,0.14588089206791158,-0.7840530540293603,-0.7762503966143232,-0.7840530540293603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111
0,-0.7380115674436981,-0.834111823573878,-0.7260869977801644,-0.062474341958482595,TRUE,TRUE,15,0.6666666666666666,0,-0.7380115674436981,-0.7260869977801644,-0.7380115674436981,-0.834111823573878,-0.062474341958482595,-0.834111823573878,4,0.4285714285714286,0.2857142857142858,6,4,4,6,0,4,0.4285714285714286,0.2857142857142858,6,4,4,6,0,10,0.8181818181818181,0.5808080808080809,13,10,10,13,1,10,0.8181818181818181,0.5808080808080809,13,10,10,13,1,26.479507505481532
